Booking_ID,Consumer_ID,Consumer_Name,Phone,Aadhaar_Last4,Oil_Company,Distributor_Name,State,Region,City,Consumer_Category,Connection_Type,Cylinder_Type,Cylinders_Booked,Booking_Date,Delivery_Date,Booking_Channel,Payment_Mode,Delivery_Status,Scheme_Type,Unit_Price_INR,Total_Amount_INR,Subsidy_INR,Net_Payable_INR,Delivery_TAT_Days
BK872246,CON23434,Suresh Mehta,9461415646,7224,IndanGas,Das Gas Depot,Madhya Pradesh,Central,Bhopal,comercial,New Connection,5 KG,1,2024-10-31,04/11/2024,Online,Cheque,Failed,Ujjwala Yojana,279.77,279.77,,223.82,4
BK407419,CON92397,Priya Mishra,9596348124,4598,IndanGas,Mehta LPG Hub,Rajasthan,West,Jaipur,domestic,Surrender,14.2 kg,2,13-06-2022,06/14/2022,online,Cheque,delivered,Ujjwala Yojana,846.03,1692.06,169.21,1522.85,1
BK694731,CON51245,Anil Joshi,9553290810,7304,IndanGas,Kumar Gas Point,Uttar Pradesh,North,Agra,Industriel,ACTIVE,47.5 KG,1,21 May 2023,26/05/2023,IVR,Cash,Cancelled,N/A,292.55,292.55,0.0,292.55,5
BK905934,CON94012,Kishore Chauhan,0000000000,6038,IndanGas,Nair Fuel Point,Rajasthan,West,Jaipur,Commercial,Suspended,14.2 kg,2,06/24/2023,28/06/2023,IVR,upi,Delivered,regular,871.54,1743.08,43.58,1699.5,4
BK234628,CON96474,Anil Chauhan,9133729406,2160,IndanGas,Tiwari LPG Store,Delhi,North,New Delhi,Industrial,Suspended,19 KG,3,2023-10-01,04 Oct 2023,IVR,CASH,Failed,regular,1149.98,3449.94,57.5,3392.44,3
BK354801,CON71993,Asha Rawat,9368227631,2235,HP Gas,Das Gas Depot,Maharashtra,West,Aurangabad,domestic,Surrender,5kg,1,17/05/2024,20-05-2024,online,cash,PENDING,Regular,385.82,385.82,19.29,366.53,3
BK989921,CON40982,Ravi Singh,9889991777,,HP Gas,Tiwari LPG Store,Uttar Pradesh,North,Bareilly,comercial,surrendered,19 KG,1,04/12/2022,07 Dec 2022,IVR,cash,Delivered,N/A,1098.08,1098.08,0.0,1098.08,3
BK171849,CON87992,Amit Singh,9704509817,2200,HP Gas,Sharma Gas Agency,Odisha,East,Rourkela,domestic,ACTIVE,5 KG,1,17/06/2022,2022-06-14,Mobile App,Cheque,Delivered,Regular,353.05,353.05,17.65,335.4,-3
BK559469,CON81200,Kavita Tiwari,9103807155,3143,IndanGas,Mishra Gas Service,Haryana,North,Panipat,Domestic,Suspended,14.2KG,1,2022-08-08,08/13/2022,IVR,Cash,Pending,Regular,824.47,824.47,41.22,783.25,5
BK824586,CON29536,Ravi Kumar,0000000000,7745,IndanGas,Mehta LPG Hub,Telangana,South,Karimnagar,Commerical,Transfer,14.2 KG,2,01/17/2024,2024-01-17,IVR,Cash,delivered,regular,812.02,1624.04,40.6,1583.44,0
BK333238,CON36158,Shanta Patel,9141078352,8119,IndanGas,Yadav Gas Centre,Himachal Pradesh,North,Dharamshala,Commerical,Suspended,19 KG,1,2024-03-27,29 Mar 2024,IVR,Cash,Failed,No Scheme,1033.88,,0.0,1033.88,2
BK146542,CON67154,Kishore Rawat,0000000000,4443,IndanGas,Yadav Gas Centre,Assam,East,Silchar,domestic,new connection,14.2 KG,3,13/09/2022,18/09/2022,Online,UPI,PENDING,regular,871.42,2614.26,43.57,2570.69,5
BK932291,CON32241,Sanjay Joshi,9906341966,2746,IndanGas,Ali Gas Supply,Madhya Pradesh,Central,Jabalpur,DOMESTIC,new connection,5 KG,1,04/06/2023,04/07/2023,ivr,Cheque,delivered,Regular,249.24,249.24,12.46,236.78,1
BK940346,CON70901,Kavita Kumar,9264073400,2052,IndanGas,Mehta LPG Hub,Odisha,East,Cuttack,Industriel,ACTIVE,14.2 kg,2,2023-06-15,16/06/2023,IVR,upi,Cancled,N/A,825.46,1650.92,0.0,1650.92,1
BK907189,CON86556,Vinod Verma,9768143326,7455,IndanGas,Singh LPG,Telangana,South,Warangal,comercial,surrendered,14.2 KG,2,08-05-2024,12-05-2024,,Cash,Delievered,Ujjwala Yojana,879.23,1758.46,175.85,1582.61,4
BK497519,CON52906,Sanjay Gupta,9356135680,2874,HP Gas,Tiwari LPG Store,Madhya Pradesh,Central,,Industriel,new connection,47.5 KG,2,05/13/2024,15 May 2024,ivr,cash,delivered,ujjwala yojana,334.06,668.12,66.81,601.31,2
BK271720,CON50768,Usha Kumar,9626350075,6934,HP Gas,Reddy Gas Agency,Rajasthan,West,Udaipur,Domestic,Suspended,5 KG,1,13 May 2023,05/13/2023,Distributor Visit,Cheque,Pending,regular,300.32,300.32,15.02,285.3,0
BK664315,CON73372,Suresh Shah,9110899674,4130,HP Gas,Nair Fuel Point,Andhra Pradesh,South,Visakhapatnam,comercial,Suspended,19 KG,1,26 Jul 2023,29 Jul 2023,ivr,Cheque,Pending,,1112.94,1112.94,222.59,890.35,3
BK118080,CON22196,Ramesh Dubey,9619904272,9595,IndanGas,Nair Fuel Point,Bihar,East,Patna,domestic,ACTIVE,14.2KG,1,23-12-2024,12/25/2024,SMS,UPI,Cancled,No Scheme,919.19,919.19,0.0,919.19,2
BK232731,CON45954,Nisha Sharma,9426240903,5066,Bharat Gas,Verma Distributors,Goa,West,Panaji,Domestic,Suspended,14.2 KG,1,26 Jan 2022,30/01/2022,online,upi,Pending,BPL Subsidy,865.74,865.74,129.86,735.88,4
BK564226,CON48974,Amit Mishra,9384063364,4241,HP Gas,Joshi Gas Agency,Assam,East,Silchar,DOMESTIC,New Connection,5kg,1,26/06/2023,07/01/2023,ivr,Cheque,Failed,Regular,287.97,287.97,,273.57,5
